model,set,item_id,intermediate,lens,layer,top10
gemma-3-27b-it,multihop,mars-color,Mars,released-R,0," to |  the | , |  a |  in |  not |  that |  also |  on |  being"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,1,", |  to |  the |  a |  in |  not |  that |  and |  for |  also"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,2,", |  to |  the |  a |  in |  not |  on |  and |  for |  also"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,3,", |  to |  the |  a |  in |  and |  for |  on |  not |  that"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,4,", |  to |  the |  a |  in |  and |  for |  on |   |  that"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,5,", |  to |  the |  a |  in |  and |   |  for |  on |  as"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,6,", |  to |  the |  a |  in |  and |   |  for |  on |  ("
gemma-3-27b-it,multihop,mars-color,Mars,released-R,7,", |  to |  the |  a |  and |  in |   |  for |  that |  ("
gemma-3-27b-it,multihop,mars-color,Mars,released-R,8,", |  to |  the |  a |  and |  in |   |  that |    |  for"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,9,", |  to |  the |  a |  and |  in |   |  that | . |  for"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,10,", |  to |  the |  a |  and |  in |   | 
 |  that |  not"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,11,", |  to |  the |  a |  and |  in |   | 
 |  that |  for"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,12,", |  to |  the |  a |  and |  in |  that |   |  for | 
"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,13,", |  to |  the |  a |  and |  in |  that |   |  not |  for"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,14,", |  to |  the |  a |  and |  in |   |  that |  not | 
"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,15,", |  to |  the |  a |  and |  in |  that | � |  only |  not"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,16,", |  color |  to |  the |  a |  and |   |  in |  only | �"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,17," color | , |  the |  to |  a |  colors |  and |   | 
 |  in"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,18,", |  color |  the |  to |  a |  and |  that |   |  in |  colors"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,19," color |  the | , |  a |  colors |  to |   |  and |  in | �"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,20," color |  colors | , |  the |  a |  to |  that |  only |  colored |  in"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,21," color |  colors | , |  the |  that |  a |  to |  only |  being | �"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,22," color |  colors |  colored |  the |  that |  Earth |  science | , |  not |  a"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,23," color |  colors | , |  Earth |  the |  colored |  that |  "" |  a |  science"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,24," color |  colors |  colored |  science |  Earth | , |  the |  a |  coloring |  that"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,25," color |  colors |  colored |  known |  science |  "" |  coloring |  that |  Earth |  the"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,26," color |  "" |  colors |  not |  colored |  Earth | � |  a | , |  known"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,27," color |  colors |  Earth |  "" |  colored |  science | � |  known |  a |  commonly"
gemma-3-27b-it,multihop,mars-color,Mars,released-R,28," color |  colors |  colored |  Earth |  coloration |  colorful |  colorless |  multicolored |  coloring |  """
gemma-3-27b-it,multihop,mars-color,Mars,released-R,29," color |  colors |  commonly |  Earth |  colored |  often |  known |  most |  usually |  """
gemma-3-27b-it,multihop,mars-color,Mars,released-R,30, color |  colors |  Earth |  colored |  commonly |  coloration |  often |  known |  colour |  coloring
gemma-3-27b-it,multihop,mars-color,Mars,released-R,31, color |  colors |  colored |  coloration |  coloring |  Color |  colour |  Earth |  reddish |  multicolored
gemma-3-27b-it,multihop,mars-color,Mars,released-R,32, color |  colors |  colored |  colour |  Color |  coloration |  reddish |  coloring |  multicolored |  Earth
gemma-3-27b-it,multihop,mars-color,Mars,released-R,33, color |  colors |  colored |  colour |  Color |  coloration |  reddish |  coloring |  multicolored |  colorful
gemma-3-27b-it,multihop,mars-color,Mars,released-R,34, color |  colors |  reddish |  colour |  colored |  coloration |  Color |  coloring |  orange |  purple
gemma-3-27b-it,multihop,mars-color,Mars,released-R,35, color |  colors |  reddish |  colour |  colored |  Color |  coloration |  orange |  yellowish |  coloring
gemma-3-27b-it,multihop,mars-color,Mars,released-R,36, color |  colors |  reddish |  colour |  colored |  coloration |  orange |  Color |  yellowish |  purple
gemma-3-27b-it,multihop,mars-color,Mars,released-R,37, color |  reddish |  colors |  colour |  colored |  Martian |  orange |  yellowish |  planet |  purple
gemma-3-27b-it,multihop,mars-color,Mars,released-R,38, color |  reddish |  Mars |  Martian |  planet |  planetary |  colors |  known |  red |  commonly
gemma-3-27b-it,multihop,mars-color,Mars,released-R,39, reddish |  color |  Mars |  planet |  Martian |  known |  planetary |  colors |  mostly |  red
gemma-3-27b-it,multihop,mars-color,Mars,released-R,40, reddish |  color |  known |  mostly |  named |  Mars |  largely |  called |  commonly |  primarily
gemma-3-27b-it,multihop,mars-color,Mars,released-R,41, Mars |  Martian |  reddish |  planet |  mars |  planetary | Mars |  red |  color |  orange
gemma-3-27b-it,multihop,mars-color,Mars,released-R,42, Mars |  Martian |  reddish |  mars |  red |  planet |  planetary |  orange | Mars |  named
gemma-3-27b-it,multihop,mars-color,Mars,released-R,43, reddish |  Mars |  Martian |  red |  orange |  named |  color |  mostly |  called |  yellowish
gemma-3-27b-it,multihop,mars-color,Mars,released-R,44, reddish |  Mars |  Martian |  red |  orange |  color |  known |  named |  yellowish |  called
gemma-3-27b-it,multihop,mars-color,Mars,released-R,45, reddish |  red |  orange |  known |  Mars |  Red |  Martian |  yellowish |  named |  crimson
gemma-3-27b-it,multihop,mars-color,Mars,released-R,46, reddish |  red |  Red |  orange |  красный |  redness | 红色 |  reds |  крас |  crimson
gemma-3-27b-it,multihop,mars-color,Mars,released-R,47, reddish |  red |  Red |  orange |  redness |  красный |  reds | 红色 | 紅色 |  крас
gemma-3-27b-it,multihop,mars-color,Mars,released-R,48, reddish |  red |  orange |  Red |  reds |  красный | 红色 | 紅色 |  crimson |  redness
gemma-3-27b-it,multihop,mars-color,Mars,released-R,49, reddish |  red |  Red |  красный |  orange |  reds | 红色 |  kırmızı |  crimson |  redness
gemma-3-27b-it,multihop,mars-color,Mars,released-R,50, reddish |  red |  Red |  красный |  orange |  reds |  crimson | 红色 |  крас |  kırmızı
gemma-3-27b-it,multihop,mars-color,Mars,released-R,51, red |  reddish |  Red |  orange |  красный |  reds |  crimson |  redness |  крас | 红色
gemma-3-27b-it,multihop,mars-color,Mars,released-R,52, red |  reddish |  Red | Red |  reds | 红 |  красный | red |  RED |  redness
gemma-3-27b-it,multihop,mars-color,Mars,released-R,53, red |  reddish |  Red | Red |  reds | red |  красный | 红 |  RED |  крас
gemma-3-27b-it,multihop,mars-color,Mars,released-R,54, red |  reddish |  Red | red | Red |  RED |  reds | 红 |  красный |  крас
gemma-3-27b-it,multihop,mars-color,Mars,released-R,55, red |  reddish |  Red | red | Red |  RED |  reds | 红 |  красный |  orange
