cell_id,judge_id,panel_arm,contextual_coherence,lexical_integrity,prompt_echo,evidence,contextual_winner
c106bcfa1632a74e,openai/gpt-5,A,0,2,0,Random multilingual word fragments unrelated to punctuation at sentence end; largely incoherent for this position; minimal prompt echo.,
c106bcfa1632a74e,openai/gpt-5,B,3,2,0,"Mostly punctuation/newline tokens (comma, ellipsis, em dash) appropriate at sentence end; coherent theme; no direct copying.",
c106bcfa1632a74e,openai/gpt-5,C,3,2,1,Includes period and other end-of-sentence punctuation plus newline; some noise with words and multilingual tokens; minor prompt echo via '.'.,tie
300b6c0a76ee9d3a,openai/gpt-5,A,2,2,0,"Contains 'etcétera', 'principally/chiefly' and non-English 'etc' equivalents; mixed with unrelated tokens like 'lensFlare' and scripts.",
300b6c0a76ee9d3a,openai/gpt-5,B,3,2,1,"Dominated by punctuation/newline options (comma, quotes, ellipsis, period), matching choices at sentence end; minor noise ('and', �).",
300b6c0a76ee9d3a,openai/gpt-5,C,1,1,0,Mostly isolated letters plus one Hebrew character; only newline plausibly relates to sentence boundary.,B
e9daf7e76858a0e3,openai/gpt-5,A,3,2,1,"Mostly end punctuation variants (ellipses, quotes, em dash) matching a period slot; some noise like 'â' and 'ly' reduces unity.",
e9daf7e76858a0e3,openai/gpt-5,B,3,2,1,"Punctuation-heavy mix (., ..., quotes, comma, parentheses, newlines) suits an end-of-sentence position; coherent despite minor extras like 'and'.",
e9daf7e76858a0e3,openai/gpt-5,C,1,1,0,"Only newline plausibly matches sentence end; other tokens are random fragments and letters, not punctuation for this position.",tie
cd7070966f95b4d4,openai/gpt-5,A,3,2,0,"Mix of plausible continuations: period, comma, quotes, ellipsis, newline/space, and function words (' and', ' a'); coherent with choosing to end or continue.",
cd7070966f95b4d4,openai/gpt-5,B,4,2,0,"Dominated by sentence-final punctuation options: '.', '...', '—', ',', '?', quotes; contextually apt at end of sentence; mostly clean tokens.",
cd7070966f95b4d4,openai/gpt-5,C,0,2,0,"Random multilingual fragments ('Lenin', Hebrew, Georgian) and subwords; no punctuation; not aligned with sentence-final choice.",B
f531c73afb95f82a,openai/gpt-5,A,4,2,0,"Whispered/quietly/muttered and adverbs with dash punctuation match a fraught, quiet pause at sentence end after a question.",
f531c73afb95f82a,openai/gpt-5,B,1,2,0,"Multilingual mix; only ‘Suddenly’ or a frown vaguely relate to the tense pause, most tokens feel random.",
f531c73afb95f82a,openai/gpt-5,C,3,2,0,Speech tags like whispered/mumbled/muttered and adverbs fit a tense pause and potential sentence closure.,A
ab45001284f26fb9,openai/gpt-5,A,2,2,0,"Includes '.' and other end punctuation, mixed with unrelated multilingual tokens.",
ab45001284f26fb9,openai/gpt-5,B,3,2,1,"Dominated by punctuation and whitespace variants appropriate at sentence end, despite minor noise like 'ly' and '�'.",
ab45001284f26fb9,openai/gpt-5,C,0,1,0,Mostly multilingual word fragments; no punctuation options suited for sentence-final period position.,B
