construct,model,model_key,prompt,delta,n_depths
standard,gemma-3-27b-it,gemma-3-27b-it,typo::typo-million,-0.6,5
standard,gemma-3-27b-it,gemma-3-27b-it,multihop::spaceneedle-border,-0.3,5
standard,gemma-3-27b-it,gemma-3-27b-it,multilingual::es-number-after-two,0.0,5
standard,gemma-3-27b-it,gemma-3-27b-it,multilingual::fr-double-three,0.0,5
standard,gemma-3-27b-it,gemma-3-27b-it,typo::typo-message,0.2,5
standard,gemma-3-27b-it,gemma-3-27b-it,association::interview,0.3,5
standard,gemma-3-27b-it,gemma-3-27b-it,multilingual::italian-color-sky,0.4,5
standard,gemma-3-27b-it,gemma-3-27b-it,multihop::month-3-godof,0.7,5
standard,gemma-3-27b-it,gemma-3-27b-it,typo::typo-people,0.7,5
standard,gemma-3-27b-it,gemma-3-27b-it,association::poker,0.8,5
standard,gemma-3-27b-it,gemma-3-27b-it,association::math-h,0.9,5
standard,gemma-3-27b-it,gemma-3-27b-it,multihop::super-smallest-continent,0.9,5
standard,gemma-3-27b-it,gemma-3-27b-it,poetry::couplet-heart-apart,1.3,5
standard,gemma-3-27b-it,gemma-3-27b-it,multilingual::portuguese-season-spring,1.5,5
standard,gemma-3-27b-it,gemma-3-27b-it,association::rivals,1.6,5
standard,gemma-3-27b-it,gemma-3-27b-it,multihop::atomic-79-symbol,1.6,5
standard,gemma-3-27b-it,gemma-3-27b-it,typo::typo-company,1.7,5
standard,gemma-3-27b-it,gemma-3-27b-it,poetry::couplet-crack-black,1.9,5
standard,gemma-3-27b-it,gemma-3-27b-it,poetry::couplet-fall-wall,1.9,5
standard,gemma-3-27b-it,gemma-3-27b-it,poetry::couplet-white-write,2.5,5
standard,qwen3.5-27b,qwen3.5-27b,typo::typo-company,-0.2,5
standard,qwen3.5-27b,qwen3.5-27b,association::math-h,-0.1,5
standard,qwen3.5-27b,qwen3.5-27b,multihop::super-smallest-continent,0.2,5
standard,qwen3.5-27b,qwen3.5-27b,multihop::spaceneedle-border,0.3,5
standard,qwen3.5-27b,qwen3.5-27b,association::poker,0.4,5
standard,qwen3.5-27b,qwen3.5-27b,multilingual::portuguese-season-spring,0.4,5
standard,qwen3.5-27b,qwen3.5-27b,poetry::couplet-crack-black,0.4,5
standard,qwen3.5-27b,qwen3.5-27b,poetry::couplet-heart-apart,0.4,5
standard,qwen3.5-27b,qwen3.5-27b,typo::typo-people,0.4,5
standard,qwen3.5-27b,qwen3.5-27b,association::interview,0.6,5
standard,qwen3.5-27b,qwen3.5-27b,poetry::couplet-white-write,0.7,5
standard,qwen3.5-27b,qwen3.5-27b,multihop::atomic-79-symbol,0.8,5
standard,qwen3.5-27b,qwen3.5-27b,typo::typo-message,0.8,5
standard,qwen3.5-27b,qwen3.5-27b,typo::typo-million,0.8,5
standard,qwen3.5-27b,qwen3.5-27b,multihop::month-3-godof,1.0,5
standard,qwen3.5-27b,qwen3.5-27b,multilingual::es-number-after-two,1.0,5
standard,qwen3.5-27b,qwen3.5-27b,poetry::couplet-fall-wall,1.0,5
standard,qwen3.5-27b,qwen3.5-27b,multilingual::fr-double-three,1.2,5
standard,qwen3.5-27b,qwen3.5-27b,association::rivals,1.4,5
standard,qwen3.5-27b,qwen3.5-27b,multilingual::italian-color-sky,1.6,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,multihop::spaceneedle-border,-1.5,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,multihop::super-smallest-continent,-0.8,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,typo::typo-message,-0.8,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,multihop::month-3-godof,-0.3,5
