cell_id,judge_id,panel_arm,non_echo_coherence,residual_substance
c106bcfa1632a74e,openai/gpt-5,A,1,2
c106bcfa1632a74e,openai/gpt-5,B,4,2
c106bcfa1632a74e,openai/gpt-5,C,3,2
300b6c0a76ee9d3a,openai/gpt-5,A,2,2
300b6c0a76ee9d3a,openai/gpt-5,B,4,2
300b6c0a76ee9d3a,openai/gpt-5,C,1,2
e9daf7e76858a0e3,openai/gpt-5,A,3,2
e9daf7e76858a0e3,openai/gpt-5,B,4,2
e9daf7e76858a0e3,openai/gpt-5,C,2,2
cd7070966f95b4d4,openai/gpt-5,A,3,1
cd7070966f95b4d4,openai/gpt-5,B,3,2
cd7070966f95b4d4,openai/gpt-5,C,0,2
f531c73afb95f82a,openai/gpt-5,A,3,2
f531c73afb95f82a,openai/gpt-5,B,1,2
f531c73afb95f82a,openai/gpt-5,C,4,2
ab45001284f26fb9,openai/gpt-5,A,2,2
ab45001284f26fb9,openai/gpt-5,B,3,2
ab45001284f26fb9,openai/gpt-5,C,1,2
b0cf2ed25ffff59f,openai/gpt-5,A,1,2
b0cf2ed25ffff59f,openai/gpt-5,B,4,2
b0cf2ed25ffff59f,openai/gpt-5,C,2,2
9c0779134c2fe024,openai/gpt-5,A,3,2
9c0779134c2fe024,openai/gpt-5,B,4,2
9c0779134c2fe024,openai/gpt-5,C,1,2
a57911a24630d932,openai/gpt-5,A,1,2
a57911a24630d932,openai/gpt-5,B,4,2
a57911a24630d932,openai/gpt-5,C,4,2
4a543620e61ebb2c,openai/gpt-5,A,1,2
4a543620e61ebb2c,openai/gpt-5,B,4,2
4a543620e61ebb2c,openai/gpt-5,C,3,2
fccf38bddf589f40,openai/gpt-5,A,2,2
fccf38bddf589f40,openai/gpt-5,B,3,2
fccf38bddf589f40,openai/gpt-5,C,1,2
b0fc47aac43c714a,openai/gpt-5,A,1,2
b0fc47aac43c714a,openai/gpt-5,B,0,2
b0fc47aac43c714a,openai/gpt-5,C,4,2
04e653268beb8df0,openai/gpt-5,A,1,2
04e653268beb8df0,openai/gpt-5,B,4,2
04e653268beb8df0,openai/gpt-5,C,3,2
d721affb1d522364,openai/gpt-5,A,2,2
d721affb1d522364,openai/gpt-5,B,1,2
d721affb1d522364,openai/gpt-5,C,4,2
37db3ce459b32623,openai/gpt-5,A,3,2
37db3ce459b32623,openai/gpt-5,B,4,2
37db3ce459b32623,openai/gpt-5,C,1,2
d5a3273bb1ab992c,openai/gpt-5,A,3,2
d5a3273bb1ab992c,openai/gpt-5,B,2,2
d5a3273bb1ab992c,openai/gpt-5,C,1,2
aa169bbf2ea567ca,openai/gpt-5,A,3,2
aa169bbf2ea567ca,openai/gpt-5,B,2,2
aa169bbf2ea567ca,openai/gpt-5,C,1,2
7cf34c4265a45071,openai/gpt-5,A,3,2
7cf34c4265a45071,openai/gpt-5,B,2,2
7cf34c4265a45071,openai/gpt-5,C,4,2
